"","Probe_ID","Gene_Symbol","Ensembl_Gene_ID","GSM60914","GSM60936","GSM60937","GSM60938","GSM60939","GSM60940","GSM60941","GSM60942","GSM60943","GSM60944","GSM60945","GSM60946","GSM60947","GSM60948","GSM60949","GSM60950","GSM60951","GSM60952","GSM60953","GSM60954","GSM60955","GSM60956","GSM60957","GSM61474"
"1322",1308,"TRIM63","ENSG00000158022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.019821441",NA,"0.126912112","0.172329895","0.32487366","-0.043068722","0.212352749","0.161505748",1.422924901
"1323",1309,"EAP30","1309","0.336334584","0.121528097","0.156892836","-0.49628974","0.155218503","0.517399217","-0.192807754","-0.143236094","-0.247186013","-0.207004483","0.151438769","0.106120299","0.140901335","0.124662573","0.112215906","-0.01384112","-0.001968206","-0.148673825","0.29744541","0.350283621","0.047919779","0.034453113","-0.104094269",1.106230572
"1324",1310,"EAP30","1310","0.234296929","0.060290124","0.102349404","0.112944586","-0.22585503","0.284976959","-0.066309345","-0.00783543","0.055168591","0.41485679","0.020190718","-0.21751446","-0.149007579","0.278958056","-0.135436625","0.000451195","-0.232798575","0.052455786","0.203581881","0.022211866","-0.212907695","0.170905426","0.045252184",1.118783449
"1325",1311,"ZHX2","ENSG00000178764","0.07845436","-0.154444211","0.260098622","0.042556569","0.197832469",NA,NA,"-0.0107871","0.016727086","0.379848071","0.062460432","0.1374041","0.131332224","0.199877627","0.09547863","-0.213472262","-0.110527402","-0.243976837","0.042913362","-0.02460582","-0.211443923","0.161303224","-0.081267067",0.953933886
"1326",1312,"ZHX2","ENSG00000178764","-0.016339728","-0.07430459","0.132659399","0.241723013","0.136286889",NA,NA,"-0.167900876","0.037317652","0.392969347","0.157175932","0.098111853","-0.043364716","-0.158635017","0.15561254","0.727735007","-0.296356427","0.03096304","0.058124462","-0.210629729","0.125632273","-0.1813169","0.070753336",1.017021034
"1327",1313,"PTK9L","1313","0.030434675","0.147311398","0.154364195","-0.014842672","0.276840205",NA,NA,NA,NA,"0.18342119","-0.074741352","0.178398576","-0.008571262","0.042802498","-0.181922241","-0.410741302","0.14777497","0.569958076",NA,NA,"0.03146063","0.005093368","-0.13096448",1.263383298
"1328",1314,"PTK9L","1314","-0.118077734","-0.278473973","0.111823463","0.381325541","-0.15436851",NA,NA,NA,NA,"0.220101629","0.122462623","0.265111721","-0.117678545","0.043635129","0.191770806","-0.261884161","0.189329576","0.031390419",NA,NA,"0.085860737","0.053037369","-0.074808588",1.290748899
"1329",1315,"C20orf27","ENSG00000101220","-0.012187641","-0.177806455","0.368668892","0.346875753","0.096400609","-0.012064646","-0.036227164","0.117790458","0.020630698","0.090936088","-0.224943771","0.244483605","0.121948422","0.417291433","-0.356358615","-0.088002514","-0.319191132","-0.150738156","0.023630747","-0.01735857","-0.015618037","-0.051952342","0.03258493",1.027001862
"1330",1316,"C20orf27","ENSG00000101220","-0.043438207","-0.154437024","0.265302109","0.238705314","-0.196325737","-0.045074784","0.079300106","0.087537715","-0.002168651","-0.052410324","-0.221509615","0.226720556","0.020922651","0.324604195","-0.535704443","0.053103087","-0.480520575","0.027367367","0.092000013","-0.162847021","-0.108245873","0.008817142","0.115966204",1.022545763
"1331",1317,"CCT3","ENSG00000163468","0.020088891","-0.136514409","-0.13711133","-0.010131572","-0.146432626","-0.010623218","-0.016704052","-0.109484694","-0.012381404","0.121590423","0.148023657","0.252317815","-0.029151173","0.054192935","0.227399139","-0.235558948","0.389714381","0.033553215","0.130233135","-0.162380962","-0.005652968","-0.073263725","-0.094461573",1.009383692
